Male,Texts_class,GPA
1,1,3.6
1,0,3.3
0,20,3.76
1,0,4.3
0,15,2
1,2,2.75
1,0,3.75
1,2,3.67
1,5,2.75
0,30,4
0,20,3
0,0,4
0,30,3.3
0,20,3.3
1,10,3.4
1,10,3.6
1,30,3.5
1,10,3.7
1,3,3.3
1,1,3.6
0,2,3.6
0,3,4
1,35,3.2
1,0,3.3
1,0,4
1,4,2.43
0,3,3.8
0,3,3.3
0,1,3
0,15,3.5
1,3,3
1,7,2.5
0,4,3.5
1,0,3.74
1,30,3.41
1,2,4
1,5,3.65
1,0,4
1,50,3
0,5,3.3
0,5,3.4
1,0,4
1,1,2.43
1,1,3.76
0,2,4
1,1,3.76
0,10,4
1,5,3
1,0,2.95
1,10,3.3
1,20,3.97
1,0.1,3.3
1,0,3.55
0,3,4
1,1,4
1,2,3.23
1,5,3.57
1,0,3.6
1,50,3.2
1,5,3.2
0,1,3.33
