Age,All ,Internal  ,External ,Alcohol ,Homicide ,Suicide ,MVA ,Drugs ,External Other
19.06849315,92.82540388,16.61758952,76.20781437,0.751927127,16.31681867,11.2037142,35.82932762,3.759635637,8.534372896
19.15068493,95.10074003,18.32768516,76.77305487,0.827944709,16.85996499,12.19336754,35.63925636,3.085975735,8.655785598
19.23287671,92.14429171,18.91105251,73.2332392,0.979456903,15.21925342,11.71581142,34.20564876,3.089056386,8.513740772
19.31506849,88.42775354,16.10177005,72.32598349,1.168980964,16.74282412,11.27500994,32.27895822,2.979016004,8.258284872
19.39726027,88.70493922,17.36352002,71.3414192,1.170150262,14.94772593,10.98431375,32.65096699,3.397210438,8.41753253
19.47945206,90.19178647,17.87210515,72.31968131,1.322460212,15.64281508,12.16663395,32.72144411,3.060550777,7.97254585
19.56164384,96.22030795,16.41494247,79.80536547,1.096850995,16.26365268,12.40576297,36.38519506,3.630955017,10.28770588
19.64383562,89.61555422,15.97708656,73.63846766,1.287253419,15.82564498,10.97951446,34.1879364,3.293854338,8.670030383
19.7260274,93.38170071,17.43327205,75.94842866,1.326444612,16.78899895,11.90010309,31.91046753,3.903537002,10.76315057
19.80821918,90.85795763,18.28540108,72.57255656,0.986349436,16.61619434,11.57063761,30.57683251,3.528096058,9.863494357
19.89041096,95.81014967,18.60759942,77.20255025,1.518987708,17.27848518,11.46835719,33.53165365,3.911393348,9.835445408
19.97260274,94.15806612,18.43627859,75.72178753,1.444491931,16.95377372,11.63196134,33.60344387,3.535203936,9.123106932
20.05479452,92.46459957,19.63445818,72.83014139,1.255692093,17.19917655,11.26317756,31.77281508,3.50071735,8.295178068
20.1369863,98.24559872,20.88385884,77.36173988,1.067058481,17.03482647,11.92818945,34.29830832,3.810923147,9.679744793
20.21917808,94.96040214,18.47300428,76.48739787,1.526694568,16.29746452,11.87005027,33.32010895,4.08390797,9.809012601
20.30136986,93.38532297,18.88348324,74.50183974,1.184995912,15.9401063,12.46156991,32.75940311,3.249182338,9.250613246
20.38356164,90.12092058,18.56781924,71.55310135,1.416514045,16.88331605,11.10240738,30.58904654,3.06273307,8.996778393
20.46575343,92.40622377,19.36312988,73.04309389,1.3419991,17.33095981,10.88936413,31.28775045,3.834283144,8.972222557
20.54794521,93.35448308,19.96887339,73.3856097,1.305657106,16.7431323,11.4821022,30.2989252,4.032176357,9.830829975
20.63013699,92.22877936,19.42265787,72.80612149,1.192281968,15.88427268,12.34588748,30.23011701,3.423003071,10.19208779
20.71232877,92.33224699,20.3770374,71.95520959,1.271157343,17.4110036,10.97817705,30.12257703,3.389752914,9.398860353
20.79452055,92.66750957,19.52113232,73.14637724,1.388855264,17.90080118,11.30373868,29.74465024,4.166565792,9.220455781
20.87671233,93.39019651,18.62394486,74.76625166,1.120527803,18.16027818,12.20988916,30.71791735,3.786611195,9.157416869
20.95890411,94.26991356,20.20069576,74.0692178,1.547946035,17.14350234,11.88048582,30.4171396,4.179454296,9.481169467
21.04109589,105.2683499,21.937366,83.33098393,2.713101802,18.33281646,12.4027511,36.31680555,4.030894106,10.69737282
21.12328767,101.0665164,21.1218536,79.94466278,1.824866028,17.31681379,14.83188984,32.57579994,4.19330917,9.978522747
21.20547945,96.96652578,19.25328129,77.71324449,1.711402782,16.88065471,12.21319258,33.02229458,4.395193507,10.26841669
21.28767123,102.8268971,21.50831649,81.31858064,1.636502342,17.3780963,14.45577069,35.10687166,3.97436283,9.624192343
21.36986301,100.9794295,22.36614345,78.61328606,1.522302957,17.0185664,13.58362639,32.3586962,4.21560819,10.57805388
21.45205479,101.2369477,21.23277813,80.00416953,2.072444274,17.4789168,13.80326092,32.45525939,4.496813048,10.28401593
21.53424658,99.49759563,21.27054899,78.22704664,1.449374425,18.41097242,12.84850841,31.5336868,4.308950992,10.34148238
21.61643836,95.20130853,22.09329625,73.10801228,1.334231035,16.59940375,11.81186887,30.09868246,4.552082354,9.4965856
21.69863014,97.25824923,21.26787099,75.99037824,1.769046571,18.04427502,13.3268175,30.38828887,4.245711769,8.963169291
21.78082192,98.92872282,19.45493196,79.47379087,1.890357761,17.17074966,14.76842001,31.7422574,4.922806669,9.806230885
21.8630137,102.2622087,20.51556656,81.74664216,1.459761467,17.16206049,13.92691346,34.48193303,4.65545549,10.57340738
21.94520548,96.8333717,22.09381828,74.73955342,1.383333881,16.71857805,12.37095728,31.5400125,4.031430169,9.446194219
22.02739726,99.5019646,21.02488786,78.47707673,1.544200804,17.22377819,12.27441664,31.83429349,4.711792195,11.4825188
22.10958904,96.07228738,23.40324094,72.66904644,1.943658993,17.01693282,11.62228745,29.55155,4.085650537,9.440629396
22.19178082,95.96820528,20.624223,75.34398228,2.026657751,16.5709075,12.59706877,30.83698853,4.410960988,9.49747456
22.2739726,98.61067156,23.12991529,75.48075627,1.950715747,17.198147,12.42088394,29.85789409,4.618020953,10.07206294
22.35616438,97.95246631,23.09221417,74.86025214,1.834614597,17.10977526,13.87925825,28.75558966,4.825834048,9.372487615
22.43835616,97.4117294,24.37291014,73.03881925,2.03773511,16.70143679,13.86458987,27.64926856,4.035514631,9.469474925
22.52054795,97.50947483,23.49674127,74.01273357,1.841311922,17.53249178,12.80912642,28.26013515,4.243023125,9.887044451
22.60273973,95.56239021,22.81787664,72.74451357,1.443661791,16.04068656,12.15082007,29.23415126,4.812205969,10.0254291
22.68493151,97.02306202,21.81512326,75.20793876,1.165080248,16.79322564,12.85605791,29.52875801,5.142423163,10.20449596
22.76712329,99.37457156,24.35059368,75.02397788,1.569707692,17.22653569,14.61035621,27.44976015,4.427380669,10.50496686
22.84931507,94.31531112,22.94374178,71.37156934,1.49194806,16.6936891,12.33881368,26.85506507,5.443594272,9.435563404
22.93150685,97.39764567,24.23831912,73.15932655,1.817873934,17.77476736,11.91717357,27.38930061,4.928458222,10.09929963
